Reference, Quantity, Value, Footprint, Datasheet, Value1, Value2, digikey
B101 B102 B103 B104 B105 ,5,"TEST_1P","rklib:MountingHole_3.2mm_M3_DIN965_Pad",""
C101 C104 C107 C116 C228 C240 C246 C258 C263 C279 C280 C282 C289 C290 C291 C292 C293 C294 C295 C296 C297 C298 C299 C300 C301 C302 C303 C304 C324 C332 C340 C348 C356 C365 C366 C367 C368 C369 C370 C371 C372 C373 C374 C375 C376 C377 C378 C379 C380 C381 ,50,"CAP_100n_50V_X7R_0805","rklib:C0805-X7R","","100n","5% 50V X7R","399-1170-1-ND"
C102 C103 C105 C106 C108 C115 C117 C118 C277 C278 C341 C364 ,12,"CAP_10u0_25V_X5R_0805","rklib:C0805-X7R","","10u0","20% 25V X5R","490-10748-1-ND"
C109 C110 C111 C112 C113 C114 C203 C204 C213 C214 C221 C222 C227 C233 C234 C239 C243 C244 C245 C255 C256 C257 C267 C268 C283 C284 C305 C306 C313 C314 C318 C319 C325 C328 C329 C333 C334 C335 C344 C345 C349 C350 C351 C357 C360 C361 ,46,"CAP_100u_20%_25V_ALUM_RADIAL","Capacitors_ThroughHole:C_Radial_D5_L11_P2","","100u","20% 25V","399-6102-ND"
C201 C202 C211 C212 C219 C220 C231 C232 C241 C242 C253 C254 C265 C266 C275 C276 ,16,"CAP_1n00_5%_50V_PPS_0805","rklib:C0805-X7R","","1n00","5% 50V PPS","PCF1328CT-ND"
C205 C206 C215 C216 C223 C224 C235 C236 C247 C248 C259 C260 C269 C270 C285 C286 ,16,"CAP_1n00_50V_X7R_0805","rklib:C0805-X7R","","1n00","10% 50V X7R","399-1147-1-ND"
C207 C208 C217 C218 C225 C226 C237 C238 C249 C250 C261 C262 C271 C272 C287 C288 ,16,"CAP_100p_50V_C0G/NP0_0805","rklib:C0805-X7R","","100p","5% 50V C0G/NP0","399-1122-1-ND"
C209 C210 C229 C230 C251 C252 C273 C274 ,8,"CAP_5n60_5%_16V_PPS_0805","rklib:C0805-X7R","","5n60","5% 16V PPS","PCF1193CT-ND"
C264 ,1,"CAP_4u70_25V_X5R_0805","rklib:C0805-X7R","","4u70","20% 25V X5R","490-5422-1-ND"
C281 ,1,"CAP_10n0_50V_X7R_0805","rklib:C0805-X7R","","10n0","10% 50V X7R","311-1136-1-ND"
C307 C308 C315 C316 C320 C321 C330 C331 C336 C337 C346 C347 C352 C353 C362 C363 ,16,"CAP_470p_2%_50V_PPS_0805","rklib:C0805-X7R","","470p","2% 50V PPS","PCF1292CT-ND"
C309 C310 C322 C323 C338 C339 C354 C355 ,8,"CAP_27p0_50V_C0G/NP0_0805","rklib:C0805-X7R","","27p0","5% 50V C0G/NP0","399-1114-1-ND"
C311 C312 C326 C327 C342 C343 C358 C359 ,8,"CAP_3n90_5%_16V_PPS_0805","rklib:C0805-X7R","","3n90","5% 16V PPS","PCF1191CT-ND"
C317 ,1,"CAP_1u00_16V_X7R_0805","rklib:C0805-X7R","","1u00","10% 16V X7R","311-1365-1-ND"
D101 ,1,"DNP","Diodes_SMD:MELF_Standard",""
IC101 ,1,"IC_TLE2426ID","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","TLE2426ID","Spannungsreferenz","296-1345-1-ND"
IC102 ,1,"IC_ADM811TARTZ","TO_SOT_Packages_SMD:SOT-143","","ADM811TARTZ","Spannungsmonitor","ADM811TARTZ-REELCT-ND"
IC103 ,1,"IC_LM1117MP-5.0","TO_SOT_Packages_SMD:SOT-223","","LM1117MP-5.0","LDO","LM1117MP-5.0/NOPBCT-ND"
IC104 ,1,"IC_LM1117MPX-ADJ","TO_SOT_Packages_SMD:SOT-223","","LM1117MPX-ADJ","LDO","LM1117MPX-ADJ/NOPBCT-ND"
IC105 ,1,"IC_NCP1117LPST33","TO_SOT_Packages_SMD:SOT-223","","NCP1117LPST33","LDO","NCP1117LPST33T3GOSCT-ND"
IC201 IC202 IC203 IC204 IC206 IC207 IC208 IC209 IC301 IC302 IC303 IC304 IC306 IC307 IC308 IC309 ,16,"IC_NE5532AD_SOIC8","rklib:SOIC8_3.9x4.9mm_Pitch1.27mm","","NE5532AD","OpAmp","NE5532AD8R2GOSCT-ND"
IC205 ,1,"IC_AK5558VN","rklib:QFN64_9x9mm_Pitch0.5mm_EP_Handsoldering","","AK5558VN","ADC","974-1128-1-ND"
IC305 ,1,"IC_AK4458VN","rklib:QFN48_7x7mm_Pitch0.5mm_EP_Handsoldering","","AK4458VN","DAC","974-1082-1-ND"
R101 R209 R210 R219 R220 R234 R235 R248 R249 R264 R265 R275 R276 R285 R286 R295 R296 ,17,"RES_100K_1%_0.125W_Thick_0805","rklib:C0805-RES","","100K","1% 0.125W Thick","311-100KCRCT-ND"
R102 R105 ,2,"DNP","Resistors_ThroughHole:Resistor_Horizontal_RM7mm",""
R103 R305 R306 R312 R314 R321 R322 R329 R331 R339 R340 R346 R348 R357 R358 R369 R371 ,17,"RES_150R_1%_0.25W_Thin_0805","rklib:C0805-RES","","150R","1% 0.25W Thin","RNCP0805FTD150RCT-ND"
R104 ,1,"RES_931R_1%_0.125W_Thick_0805","rklib:C0805-RES","","931R","1% 0.125W Thick","311-931CRCT-ND"
R201 R202 R211 R212 R221 R222 R240 R241 R255 R256 R267 R268 R277 R278 R287 R288 ,16,"RES_620R_0.5%_0.1W_Thin_0805","rklib:C0805-RES","","620R","0.5% 0.1W Thin","RR12P620DCT-ND"
R203 R205 R213 R215 R223 R225 R242 R244 R257 R259 R269 R271 R279 R281 R289 R291 ,16,"RES_100R_1%_0.25W_Thin_0805","rklib:C0805-RES","","100R","1% 0.25W Thin","RNCP0805FTD100RCT-ND"
R204 R206 R214 R216 R224 R226 R243 R245 R258 R260 R270 R272 R280 R282 R290 R292 ,16,"RES_976R_0.5%_0.1W_Thin_0805","rklib:C0805-RES","","976R","0.5% 0.1W Thin","408-1761-1-ND"
R207 R208 R217 R218 R227 R228 R246 R247 R262 R263 R273 R274 R283 R284 R293 R294 ,16,"RES_10R0_1%_0.25W_Thin_0805","rklib:C0805-RES","","10R0","1% 0.25W Thick","RNCP0805FTD10R0CT-ND"
R229 R231 R233 R251 R252 R253 R297 R299 R300 R359 R360 R361 R364 R365 R375 R376 R377 ,17,"RES_0R00_1%_0.125W_Thick_0805","rklib:C0805-RES","","0R00","1% 0.125W Thick","311-0.0ARCT-ND"
R236 R250 R254 R266 R323 R334 R349 R356 ,8,"RES_20R0_1%_0.125W_Thick_0805","rklib:C0805-RES","","20R0","1% 0.125W Thick","311-20.0CRCT-ND"
R261 ,1,"RES_51R0_1%_0.125W_Thick_0805","rklib:C0805-RES","","51R0","1% 0.125W Thick","311-51.0CRCT-ND"
R230 R232 R237 R238 R239 R298 R374 ,7,"RES_47K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","47K0","1% 0.125W Thick","311-47.0KCRCT-ND"
R301 R303 R311 R313 R317 R319 R328 R330 R335 R337 R345 R347 R352 R354 R368 R370 ,16,"RES_4K42_0.5%_0.1W_Thin_0805","rklib:C0805-RES","","4K42","0.5% 0.1W Thin","RR12P4.42KDCT-ND"
R302 R304 R315 R316 R318 R320 R332 R333 R336 R338 R350 R351 R353 R355 R372 R373 ,16,"RES_3K40_0.5%_0.1W_Thin_0805","rklib:C0805-RES","","3K40","0.5% 0.1W Thin","RR12P3.4KDCT-ND"
R307 R308 R309 R310 R324 R325 R326 R327 R341 R342 R343 R344 R362 R363 R366 R367 ,16,"RES_4K70_1%_0.125W_Thin_0805","rklib:C0805-RES","","4K70","1% 0.125W Thin","YAG3364CT-ND"
X101 X102 ,2,"CON_IDC64","rklib:IDC64","","IDC64","Pfostenstecker","ED10532-ND"
X103 X104 ,2,"CON_MicroFit3_02x02","rklib:Microfit3_43045-0428","","MicroFit3 02x02","Stiftleiste","WM10670-ND"
X201 X302 ,2,"CON_IDC26","Connect:IDC_Header_Straight_26pins","","IDC26","Pfostenstecker","377-2269-ND"
X202 X301 ,2,"CON_DSUB25F","rklib:DSUB25FC","","DSUB25F","gewinkelt","AE10937-ND"